Id,Name,Gender,Age,Birthdate,Address
77b7c977-c0ce-4ac6-bc6d-db2d219f8b86,나최,남성,19,2007-05-25,86 Philadelpia
6f39796d-66ce-432b-b1f6-fa3f222332dc,라조,남성,46,1976-04-01,65 Houston
6a65a8b6-3027-40db-8fa2-7f28eda45442,라박,남성,28,2008-08-25,98 Houston
bd4f77dc-fd62-429a-a9e7-7b052ea855b3,마최,여성,28,2003-07-24,62 Philadelpia
fb22f430-0a59-4ef0-9bb7-3a52e376ec1a,라김,여성,27,1991-06-07,33 Chicago
29929252-a98b-4f75-9047-c545676ce165,가최,남성,55,1966-10-12,97 Philadelpia
512c79b8-7132-4fec-9e68-0bc95f03fa5b,다김,여성,27,1986-07-22,32 Houston
6e0c1307-d78d-4806-bd75-e1699179cf7e,라조,여성,39,2006-07-13,40 Los Angeles
45ebbca0-ba35-4ac4-be71-e0ba4e03aa10,마최,여성,30,1991-11-10,24 New York
3915397b-61cb-4f7d-8944-da7ac907e258,라조,여성,40,1992-06-18,93 Chicago
